id,level,word,meaning_en,full_entry,article,pos,plural,forms,examples,page
a1_0001,A1,aber,but,aber,,conjunction,,,"Ich bin oft im Büro, aber nur für wenige Stunden.",9
a1_0002,A1,abfahren,depart,abfahren,,verb,,,Wir fahren um zwölf Uhr ab.,9
a1_0003,A1,die Abfahrt,the farewell,die Abfahrt,die,noun,,,Vor der Abfahrt rufe ich an.,9
a1_0004,A1,abgeben,hand over,abgeben,,verb,,,Ich muss meine Schlüssel abgeben.,9
a1_0005,A1,abholen,pick up,abholen,,verb,,,Wann kann ich den Schrank bei dir abholen? || Wir müssen noch meinen Bruder abholen.,9
a1_0006,A1,der Absender,the sender,der Absender,der,noun,,,Da ist ein Brief für dich ohne Absender.,9
a1_0007,A1,Achtung,Danger,Achtung,,noun,,,Achtung! || Das dürfen Sie nicht tun.,9
a1_0008,A1,"die Adresse,-en","the address,-s","die Adresse,-en",die,noun,-en,,Können Sie mir seine Adresse sagen?,9
a1_0009,A1,all-,all-,all-,,word,,,Alles Gute! || Das ist alles. || Sind alle da? || Alle Freunde kommen. || Hast du alles?,9
a1_0010,A1,allein,alone,allein,,word,,,Er kommt allein.,9
a1_0011,A1,also,so,also,,word,,,"Also, es ist so: ... || Er hat Zeit, also muss er uns helfen.",9
a1_0012,A1,alt,old,alt,,word,,,Wie alt sind Sie? || Sie sehen aber nicht so alt aus. || Mein Auto ist schon sehr alt. || Wir wohnen in einem sehr alten Haus. || Köln ist eine alte Stadt.,9
a1_0013,A1,das Alter,the age,das Alter,das,noun,,,Alter: 26 Jahre.,9
a1_0014,A1,an,to,an,,preposition,,,Fahren Sie an der nächsten Straße nach rechts. || Wir treffen uns am Bahnhof. || Am nächsten Montag geht es leider nicht.,9
a1_0015,A1,anbieten,offer,anbieten,,verb,,,Was darf ich dir anbieten?,9
a1_0016,A1,"das Angebot, -e","the offer, -e","das Angebot, -e",das,noun,-e,,Heute sind Sportschuhe im Angebot.,9
a1_0017,A1,ander-,at the-,ander-,,word,,,"WiIlst du diese Jacke? || – Nein, ich möchte die andere.",9
a1_0018,A1,anfangen,begin,anfangen,,verb,,,Hier fängt die Bahnhofstraße an. || Der Unterricht fängt gleich an.,9
a1_0019,A1,der Anfang,the beginning,der Anfang,der,noun,,,Sie wohnt am Anfang der Straße. || Wir machen Anfang Juli Urlaub.,9
a1_0020,A1,anklicken,click,anklicken,,verb,,,Da musst du dieses Wort anklicken.,9
a1_0021,A1,ankommen,arrive,ankommen,,verb,,,Wann kommt dieser Zug in Hamburg an?,9
a1_0022,A1,die Ankunft,the arrival,die Ankunft,die,noun,,,Auf diesem Plan steht nur die Ankunft(-szeit) der Züge.,9
a1_0023,A1,ankreuzen,tick,ankreuzen,,verb,,,Auf dem Formular müssen Sie an mehreren Stellen etwas ankreuzen.,9
a1_0024,A1,anmachen,turn on,anmachen,,verb,,,Mach bitte das Licht an!,9
a1_0025,A1,(sich) anmelden,(Sign in,(sich) anmelden,,verb,,,Wo kann ich mich anmelden?,9
a1_0026,A1,die Anmeldung,the registration,die Anmeldung,die,noun,,,Eine Anmeldung für diesen Kurs ist nicht mehr möglich.,9
a1_0027,A1,die Anrede,die Anrede,die Anrede,die,noun,,,Schreiben Sie auch eine Anrede und einen Gruß.,9
a1_0028,A1,anrufen,call,anrufen,,verb,,,Kann man Sie anrufen? || Peter ruft kurz seine Freundin an.,9
a1_0029,A1,"der Anruf, -e","the call, -e","der Anruf, -e",der,noun,-e,,Sie bekommt viele Anrufe auf ihrem Handy.,9
a1_0030,A1,der Anruf-,the call,der Anruf-,der,noun,,,Wir sind im Moment nicht da. || Sprechen Sie bitte auf,9
a1_0031,A1,beantworter,answerer,beantworter,,word,,,den Anrufbeantworter.,9
a1_0032,A1,213082_20_SV,213082_20_SV,213082_20_SV,,other,,,,9
a1_0033,A1,"die Ansage, -n","the announcement, -n","die Ansage, -n",die,noun,-n,,Hören Sie die Ansagen.,10
a1_0034,A1,der Anschluss,the connection,der Anschluss,der,noun,,,In Mannheim haben Sie Anschluss nach Saarbrücken. || Ist das die Anmeldung für einen Telefonanschluss?,10
a1_0035,A1,an sein,be on,an sein,,preposition,,,Heute Nacht war das Licht an.,10
a1_0036,A1,antworten,answer,antworten,,verb,,,Er antwortet nicht.,10
