id,level,word,meaning_en,full_entry,article,pos,plural,forms,examples,page
b1_0001,B1,2 Alphabetischer,2 Alphabetical,2 Alphabetischer,,other,,,Wortschatz,16
b1_0002,B1,ab,away,ab 1.,,preposition,,,Die Fahrt kostet ab Hamburg 200 Euro. || Ab nächster Woche bleibt unser Geschäft samstags geschlossen. || Mein Bruder besucht uns ab und zu.,16
b1_0003,B1,"abbiegen, biegt ab,","turn, turn","abbiegen, biegt ab,",,word,,,An der nächsten Kreuzung müssen Sie,16
b1_0004,B1,bog ab,turned off,"bog ab, ist abgebogen",,verb,,ist abgebogen,links abbiegen.,16
b1_0005,B1,"die Abbildung, -en","the illustration, -en","die Abbildung, -en",die,noun,-en,,"Auf der Abbildung sehen Sie, wie man das Gerät einschaltet.",16
b1_0006,B1,"das Abenteuer, -","the adventure, -","das Abenteuer, - 1.",das,noun,- 1.,,Unser Urlaub war ein tolles Abenteuer. || Die Kinder lieben Aben- teuergeschichten.,16
b1_0007,B1,aber,but,aber 1.,,conjunction,,,"Heute kann ich nicht, aber morgen ganz bestimmt. || Es lag sehr viel Schnee, aber Enzo ist trotzdem mit dem Motorrad gefahren. || Wir haben nur eine kleine Wohnung, sind aber damit zufrieden. || Es war sehr schön. || Jetzt muss ich aber gehen. || Ich würde gerne kommen, aber es geht leider nicht. || Darf ich dich zu einem Kaffee einladen? || – Aber ja, sehr gern. || Du spielst aber gut Klavier.",16
b1_0008,B1,"abfahren, fährt ab,","depart, depart","abfahren, fährt ab,",,word,,,Unser Zug ist pünktlich abgefahren.,16
b1_0009,B1,fuhr ab,drove off,"fuhr ab, ist abgefahren",,verb,,ist abgefahren,,16
b1_0010,B1,"die Abfahrt, -en","the departure, -en","die Abfahrt, -en",die,noun,-en,,Es bleiben uns noch zwanzig Minuten bis zur Abfahrt.,16
b1_0011,B1,"der Abfall, ¨-e","the waste, ¨-e","der Abfall, ¨-e",der,noun,¨-e,,Werfen Sie den Bioabfall bitte nicht zum normalen Müll.,16
b1_0012,B1,"der Abfalleimer, -","the trash can, -","der Abfalleimer, -",der,noun,-,,Wirf das bitte in den Abfalleimer!,16
b1_0013,B1,Abgase (Pl.),exhaust gases (pl.),Abgase (Pl.),,noun,,,Abgase aus Industrie und Haushalten verschmutzen die Luft.,16
b1_0014,B1,"abgeben, gibt ab, gab ab,","give in, give in, give in","abgeben, gibt ab, gab ab,",,word,,hat abgegeben,Ich soll dieses Päckchen bei Herrn || Müller abgeben.,16
b1_0015,B1,"abhängen, hängt ab, hing","depend, depends, hung","abhängen, hängt ab, hing",,word,,,Vielleicht bleiben wir ein paar Tage,16
b1_0016,B1,"ab, hat abgehangen (von)","from, has depended (on)","ab, hat abgehangen (von)",,preposition,,,"länger, das hängt vom Wetter ab.",16
b1_0017,B1,abhängig,dependent,abhängig,,adjective,,,Gregor ist finanziell von seinen Eltern abhängig.,16
