id,level,word,meaning_en,meaning_tr,meaning_es,meaning_ar,full_entry,article,pos,plural,forms,examples,page
b1_0001,B1,2 Alphabetischer,2 Alphabetical,2 Alfabetik,2 alfabético,2 أبجديا,2 Alphabetischer,,other,,,Wortschatz,16
b1_0002,B1,ab,away,uzak,lejos,بعيد,ab 1.,,preposition,,,Die Fahrt kostet ab Hamburg 200 Euro. || Ab nächster Woche bleibt unser Geschäft samstags geschlossen. || Mein Bruder besucht uns ab und zu.,16
b1_0003,B1,"abbiegen, biegt ab,","turn, turn","dön, dön","girar, girar",بدوره، بدوره,"abbiegen, biegt ab,",,word,,,An der nächsten Kreuzung müssen Sie,16
b1_0004,B1,bog ab,turned off,kapalı,apagado,تم إيقافه,"bog ab, ist abgebogen",,verb,,ist abgebogen,links abbiegen.,16
b1_0005,B1,"die Abbildung, -en","the illustration, -en","illüstrasyon, -tr","la ilustración, -es",الرسم التوضيحي، -en,"die Abbildung, -en",die,noun,-en,,"Auf der Abbildung sehen Sie, wie man das Gerät einschaltet.",16
b1_0006,B1,"das Abenteuer, -","the adventure, -","macera, -","la aventura, -","المغامرة, -","das Abenteuer, - 1.",das,noun,- 1.,,Unser Urlaub war ein tolles Abenteuer. || Die Kinder lieben Aben- teuergeschichten.,16
b1_0007,B1,aber,but,Ancak,pero,لكن,aber 1.,,conjunction,,,"Heute kann ich nicht, aber morgen ganz bestimmt. || Es lag sehr viel Schnee, aber Enzo ist trotzdem mit dem Motorrad gefahren. || Wir haben nur eine kleine Wohnung, sind aber damit zufrieden. || Es war sehr schön. || Jetzt muss ich aber gehen. || Ich würde gerne kommen, aber es geht leider nicht. || Darf ich dich zu einem Kaffee einladen? || – Aber ja, sehr gern. || Du spielst aber gut Klavier.",16
b1_0008,B1,"abfahren, fährt ab,","depart, depart","ayrılmak, ayrılmak","partir, partir",ارحل، ارحل,"abfahren, fährt ab,",,word,,,Unser Zug ist pünktlich abgefahren.,16
b1_0009,B1,fuhr ab,drove off,yola çıktı,se fue,انطلق,"fuhr ab, ist abgefahren",,verb,,ist abgefahren,,16
b1_0010,B1,"die Abfahrt, -en","the departure, -en","kalkış, -tr","la partida, -es",المغادرة، -en,"die Abfahrt, -en",die,noun,-en,,Es bleiben uns noch zwanzig Minuten bis zur Abfahrt.,16
b1_0011,B1,"der Abfall, ¨-e","the waste, ¨-e","atık, ¨-e","los residuos, ¨-e",النفايات، ¨-ه,"der Abfall, ¨-e",der,noun,¨-e,,Werfen Sie den Bioabfall bitte nicht zum normalen Müll.,16
b1_0012,B1,"der Abfalleimer, -","the trash can, -","çöp kutusu, -","el bote de basura, -",سلة المهملات، -,"der Abfalleimer, -",der,noun,-,,Wirf das bitte in den Abfalleimer!,16
b1_0013,B1,Abgase (Pl.),exhaust gases (pl.),egzoz gazları (pl.),gases de escape (pl.),غازات العادم (pl.),Abgase (Pl.),,noun,,,Abgase aus Industrie und Haushalten verschmutzen die Luft.,16
b1_0014,B1,"abgeben, gibt ab, gab ab,","give in, give in, give in","teslim olmak, teslim olmak, teslim olmak","ceder, ceder, ceder",استسلم، استسلم، استسلم,"abgeben, gibt ab, gab ab,",,word,,hat abgegeben,Ich soll dieses Päckchen bei Herrn || Müller abgeben.,16
b1_0015,B1,"abhängen, hängt ab, hing","depend, depends, hung","bağımlı, bağlıdır, asılı","depende, depende, colgado",تعتمد، تعتمد، معلقة,"abhängen, hängt ab, hing",,word,,,Vielleicht bleiben wir ein paar Tage,16
b1_0016,B1,"ab, hat abgehangen (von)","from, has depended (on)",bağlıydı (bağlıydı),"de, ha dependido (de)",من، اعتمد (على),"ab, hat abgehangen (von)",,preposition,,,"länger, das hängt vom Wetter ab.",16
b1_0017,B1,abhängig,dependent,abhängig,dependiente,متكل,abhängig,,adjective,,,Gregor ist finanziell von seinen Eltern abhängig.,16
